"exp_day","treatment_group","chamber","cell_count"
7,100,12,2113150
7,150,3,1239000
7,150,3,1290700
7,150,3,1158450
7,150,3,1231250
7,150,3,1200850
7,150,3,1197100
7,150,3,1175800
7,150,3,1183900
7,150,14,1200100
7,150,14,1221200
7,150,14,1314150
7,150,14,1295650
7,150,14,1301900
7,150,14,1235300
7,150,14,1223150
7,150,14,1192250
8,0,5,1983900
8,0,5,1957700
8,0,5,1893300
8,0,5,2012950
8,0,5,1940450
8,0,5,1862000
8,0,5,1911400
8,0,5,1816050
8,0,11,1913600
8,0,11,1995600
8,0,11,1959300
8,0,11,2030000
8,0,11,2042050
8,0,11,1925250
8,0,11,2039950
8,0,11,1911350
8,100,1,2283650
8,100,1,2162250
8,100,1,2103500
8,100,1,2160450
8,100,1,2108450
8,100,1,2042800
8,100,1,2016150
8,100,1,1927050
8,100,12,2035750
8,100,12,1996400
8,100,12,1957950
8,100,12,2045100
8,100,12,1928200
8,100,12,1902900
8,100,12,1945150
8,100,12,1818800
8,150,3,924900
8,150,3,967450
8,150,3,899000
8,150,3,943300
8,150,3,883300
8,150,3,897000
8,150,3,856450
8,150,3,774100
8,150,14,840350
8,150,14,814200
8,150,14,805600
8,150,14,773750
8,150,14,793200
8,150,14,724150
8,150,14,707400
8,150,14,701700
9,0,5,1908900
9,0,5,1924300
9,0,5,1927050
9,0,5,1979050
9,0,5,1825650
9,0,5,1841900
9,0,5,1901900
9,0,5,1877200
9,0,11,1741850
9,0,11,1864850
9,0,11,1838750
9,0,11,1677000
9,0,11,1797500
9,0,11,1789900
9,0,11,1760200
9,0,11,1687550
9,100,1,2019700
9,100,1,2021950
9,100,1,1976100
9,100,1,1999150
9,100,1,2001700
9,100,1,1958550
9,100,1,1960050
9,100,1,1725250
9,100,12,1646150
9,100,12,1627900
9,100,12,1591900
9,100,12,1716600
9,100,12,1641300
9,100,12,1596150
9,100,12,1567450
9,100,12,1502300
9,150,3,861350
9,150,3,853150
9,150,3,808950
9,150,3,914500
9,150,3,840100
9,150,3,806900
9,150,3,725650
9,150,3,784400
9,150,14,737600
9,150,14,711350
9,150,14,721000
9,150,14,683100
9,150,14,683850
9,150,14,654200
9,150,14,689200
9,150,14,571850
10,0,5,2079250
10,0,5,2270300
10,0,5,2047250
10,0,5,2034100
10,0,5,2067250
10,0,5,2145400
10,0,5,1999000
10,0,5,1859050
10,0,11,1992400
10,0,11,2019350
10,0,11,1991100
10,0,11,1902600
10,0,11,1997500
10,0,11,1970950
10,0,11,1896650
10,0,11,1935350
10,100,1,2117400
10,100,1,2047400
10,100,1,2016350
10,100,1,1959650
10,100,1,1922050
10,100,1,1908450
10,100,1,1998050
10,100,1,1818350
10,100,12,1583750
10,100,12,1652700
10,100,12,1542900
10,100,12,1578300
10,100,12,1491300
10,100,12,1539350
10,100,12,1478950
10,100,12,1473550
10,150,3,833450
10,150,3,870600
10,150,3,822700
10,150,3,817950
10,150,3,808400
10,150,3,795650
10,150,3,771450
10,150,3,764300
10,150,14,603050
10,150,14,619000
10,150,14,621050
10,150,14,595100
10,150,14,617250
10,150,14,580600
10,150,14,607950
10,150,14,520050
11,0,5,2502450
11,0,5,2233800
11,0,5,2490000
11,0,5,2214800
11,0,5,2345600
11,0,5,2351550
11,0,5,2344950
11,0,5,2319600
11,0,11,1798350
11,0,11,1732000
11,0,11,1769650
11,0,11,1434550
11,0,11,1671850
11,0,11,1554850
11,0,11,1536000
11,0,11,1501800
11,100,1,1832200
11,100,1,1850450
11,100,1,1811300
11,100,1,1804000
11,100,1,1835000
11,100,1,1710400
11,100,1,1762700
11,100,1,1629700
11,100,12,1248400
11,100,12,1309300
11,100,12,1319050
11,100,12,1277200
11,100,12,1187500
11,100,12,1200900
11,100,12,1138200
11,100,12,1142300
11,150,3,791450
11,150,3,841450
11,150,3,756650
11,150,3,769550
11,150,3,782300
11,150,3,755250
11,150,3,680650
11,150,3,630850
11,150,14,527250
11,150,14,515850
11,150,14,578150
11,150,14,482300
11,150,14,502150
