"cell_count","exp_day","chamber","test","rpm"
19843750,11,"1","pilot16","2.5RPM"
23125000,11,"2","pilot16","2.5RPM"
21250000,11,"3","pilot16","2.5RPM"
19843750,11,"4","pilot16","2.5RPM"
19531250,11,"5","pilot16","2.5RPM"
18906250,11,"6","pilot16","2.5RPM"
24062500,11,"7","pilot16","2.5RPM"
19218750,11,"8","pilot16","2.5RPM"
19531250,12,"1","pilot16","2.5RPM"
17656250,12,"2","pilot16","2.5RPM"
20312500,12,"3","pilot16","2.5RPM"
20156250,12,"4","pilot16","2.5RPM"
22656250,12,"5","pilot16","2.5RPM"
16718750,12,"6","pilot16","2.5RPM"
22812500,12,"7","pilot16","2.5RPM"
21406250,12,"8","pilot16","2.5RPM"
20312500,13,"1","pilot16","2.5RPM"
22500000,13,"2","pilot16","2.5RPM"
17343750,13,"3","pilot16","2.5RPM"
17968750,13,"4","pilot16","2.5RPM"
18750000,13,"5","pilot16","2.5RPM"
14062500,13,"6","pilot16","2.5RPM"
17187500,13,"7","pilot16","2.5RPM"
14687500,13,"8","pilot16","2.5RPM"
23125000,14,"1","pilot16","2.5RPM"
22343750,14,"2","pilot16","2.5RPM"
19375000,14,"3","pilot16","2.5RPM"
15625000,14,"4","pilot16","2.5RPM"
17968750,14,"5","pilot16","2.5RPM"
15468750,14,"6","pilot16","2.5RPM"
21093750,14,"7","pilot16","2.5RPM"
16093750,14,"8","pilot16","2.5RPM"
21250000,15,"1","pilot16","2.5RPM"
25937500,15,"2","pilot16","2.5RPM"
24843750,15,"3","pilot16","2.5RPM"
22656250,15,"4","pilot16","2.5RPM"
22656250,15,"5","pilot16","2.5RPM"
23125000,15,"6","pilot16","2.5RPM"
24843750,15,"7","pilot16","2.5RPM"
22031250,15,"8","pilot16","2.5RPM"
22187500,16,"1","pilot16","2.5RPM"
24218750,16,"2","pilot16","2.5RPM"
25156250,16,"3","pilot16","2.5RPM"
23125000,16,"4","pilot16","2.5RPM"
21406250,16,"5","pilot16","2.5RPM"
22500000,16,"6","pilot16","2.5RPM"
21093750,16,"7","pilot16","2.5RPM"
22031250,16,"8","pilot16","2.5RPM"
19062500,17,"1","pilot16","2.5RPM"
2.5e+07,17,"2","pilot16","2.5RPM"
26718750,17,"3","pilot16","2.5RPM"
20312500,17,"4","pilot16","2.5RPM"
21718750,17,"5","pilot16","2.5RPM"
21406250,17,"6","pilot16","2.5RPM"
20625000,17,"7","pilot16","2.5RPM"
13125000,17,"8","pilot16","2.5RPM"
21250000,18,"1","pilot16","2.5RPM"
28281250,18,"2","pilot16","2.5RPM"
27343750,18,"3","pilot16","2.5RPM"
23125000,18,"4","pilot16","2.5RPM"
22031250,18,"5","pilot16","2.5RPM"
15312500,18,"6","pilot16","2.5RPM"
22187500,18,"7","pilot16","2.5RPM"
14375000,18,"8","pilot16","2.5RPM"
19843750,21,"1","pilot16","2.5RPM"
27656250,21,"2","pilot16","2.5RPM"
27343750,21,"3","pilot16","2.5RPM"
20625000,21,"4","pilot16","2.5RPM"
2.5e+07,21,"5","pilot16","2.5RPM"
14687500,21,"6","pilot16","2.5RPM"
26562500,21,"7","pilot16","2.5RPM"
13906250,21,"8","pilot16","2.5RPM"
36497500,24,"1","pilot16","2.5RPM"
38121000,24,"2","pilot16","2.5RPM"
26952500,24,"3","pilot16","2.5RPM"
19789500,24,"4","pilot16","2.5RPM"
32355500,24,"5","pilot16","2.5RPM"
11451000,24,"6","pilot16","2.5RPM"
18628000,24,"7","pilot16","2.5RPM"
9847500,24,"8","pilot16","2.5RPM"
42358000,28,"1","pilot16","2.5RPM"
33585500,28,"2","pilot16","2.5RPM"
27592500,28,"3","pilot16","2.5RPM"
22137500,28,"4","pilot16","2.5RPM"
33652500,28,"5","pilot16","2.5RPM"
15972000,28,"6","pilot16","2.5RPM"
22126500,28,"7","pilot16","2.5RPM"
11693500,28,"8","pilot16","2.5RPM"
26700,1,"1","failed1.4","2.5RPM"
48900,1,"9","failed1.4","2.5RPM"
54900,1,"2","failed1.4","2.5RPM"
22800,1,"10","failed1.4","2.5RPM"
61200,1,"3","failed1.4","2.5RPM"
29100,1,"11","failed1.4","2.5RPM"
48900,1,"4","failed1.4","2.5RPM"
120900,1,"12","failed1.4","2.5RPM"
87600,1,"5","failed1.4","2.5RPM"
44400,1,"13","failed1.4","2.5RPM"
90300,1,"6","failed1.4","2.5RPM"
105000,1,"14","failed1.4","2.5RPM"
69000,1,"7","failed1.4","2.5RPM"
47700,1,"15","failed1.4","2.5RPM"
51000,1,"8","failed1.4","2.5RPM"
112200,1,"16","failed1.4","2.5RPM"
164700,2,"1","failed1.4","2.5RPM"
507900,2,"9","failed1.4","2.5RPM"
493800,2,"2","failed1.4","2.5RPM"
556200,2,"10","failed1.4","2.5RPM"
493200,2,"3","failed1.4","2.5RPM"
177900,2,"11","failed1.4","2.5RPM"
336000,2,"4","failed1.4","2.5RPM"
780000,2,"12","failed1.4","2.5RPM"
336600,2,"5","failed1.4","2.5RPM"
221700,2,"13","failed1.4","2.5RPM"
381000,2,"6","failed1.4","2.5RPM"
486600,2,"14","failed1.4","2.5RPM"
377700,2,"7","failed1.4","2.5RPM"
295800,2,"15","failed1.4","2.5RPM"
454200,2,"8","failed1.4","2.5RPM"
675900,2,"16","failed1.4","2.5RPM"
1841400,4,"1","failed1.4","2.5RPM"
1315200,4,"9","failed1.4","2.5RPM"
2928900,4,"2","failed1.4","2.5RPM"
2841600,4,"10","failed1.4","2.5RPM"
4674300,4,"3","failed1.4","2.5RPM"
1257900,4,"11","failed1.4","2.5RPM"
1778700,4,"4","failed1.4","2.5RPM"
3787500,4,"12","failed1.4","2.5RPM"
2664300,4,"5","failed1.4","2.5RPM"
2185500,4,"13","failed1.4","2.5RPM"
2291700,4,"6","failed1.4","2.5RPM"
1407900,4,"14","failed1.4","2.5RPM"
858600,4,"7","failed1.4","2.5RPM"
994800,4,"15","failed1.4","2.5RPM"
1605600,4,"8","failed1.4","2.5RPM"
2067600,4,"16","failed1.4","2.5RPM"
2753700,5,"1","failed1.4","2.5RPM"
1976700,5,"9","failed1.4","2.5RPM"
3445200,5,"2","failed1.4","2.5RPM"
2834100,5,"10","failed1.4","2.5RPM"
2942100,5,"3","failed1.4","2.5RPM"
2908800,5,"11","failed1.4","2.5RPM"
2796900,5,"4","failed1.4","2.5RPM"
2094600,5,"12","failed1.4","2.5RPM"
2284200,5,"5","failed1.4","2.5RPM"
2441100,5,"13","failed1.4","2.5RPM"
2775300,5,"6","failed1.4","2.5RPM"
1270200,5,"14","failed1.4","2.5RPM"
1766700,5,"7","failed1.4","2.5RPM"
2030700,5,"15","failed1.4","2.5RPM"
1381800,5,"8","failed1.4","2.5RPM"
1520100,5,"16","failed1.4","2.5RPM"
3899100,6,"1","failed1.4","2.5RPM"
1467300,6,"9","failed1.4","2.5RPM"
2582400,6,"2","failed1.4","2.5RPM"
2163000,6,"10","failed1.4","2.5RPM"
2923200,6,"3","failed1.4","2.5RPM"
1931700,6,"11","failed1.4","2.5RPM"
1881600,6,"4","failed1.4","2.5RPM"
1681800,6,"12","failed1.4","2.5RPM"
2248200,6,"5","failed1.4","2.5RPM"
1758000,6,"13","failed1.4","2.5RPM"
1507500,6,"6","failed1.4","2.5RPM"
1582200,6,"14","failed1.4","2.5RPM"
2957100,6,"7","failed1.4","2.5RPM"
1935300,6,"15","failed1.4","2.5RPM"
1623600,6,"8","failed1.4","2.5RPM"
2259900,6,"16","failed1.4","2.5RPM"
3830100,7,"1","failed1.4","2.5RPM"
2199600,7,"9","failed1.4","2.5RPM"
2462400,7,"2","failed1.4","2.5RPM"
1881000,7,"10","failed1.4","2.5RPM"
2568600,7,"3","failed1.4","2.5RPM"
2331900,7,"11","failed1.4","2.5RPM"
1907100,7,"4","failed1.4","2.5RPM"
2380500,7,"12","failed1.4","2.5RPM"
2989200,7,"5","failed1.4","2.5RPM"
1496100,7,"13","failed1.4","2.5RPM"
2064000,7,"6","failed1.4","2.5RPM"
1788600,7,"14","failed1.4","2.5RPM"
3546000,7,"7","failed1.4","2.5RPM"
1816800,7,"15","failed1.4","2.5RPM"
1385700,7,"8","failed1.4","2.5RPM"
2396400,7,"16","failed1.4","2.5RPM"
3138000,8,"1","failed1.4","2.5RPM"
2352300,8,"9","failed1.4","2.5RPM"
2070300,8,"2","failed1.4","2.5RPM"
1705800,8,"10","failed1.4","2.5RPM"
2406000,8,"3","failed1.4","2.5RPM"
2707200,8,"11","failed1.4","2.5RPM"
1280400,8,"4","failed1.4","2.5RPM"
2722800,8,"12","failed1.4","2.5RPM"
2061000,8,"5","failed1.4","2.5RPM"
2002800,8,"13","failed1.4","2.5RPM"
873900,8,"6","failed1.4","2.5RPM"
1720500,8,"14","failed1.4","2.5RPM"
2756700,8,"7","failed1.4","2.5RPM"
2218500,8,"15","failed1.4","2.5RPM"
1590300,8,"8","failed1.4","2.5RPM"
2177700,8,"16","failed1.4","2.5RPM"
6675300,9,"1","failed1.4","2.5RPM"
1842300,9,"9","failed1.4","2.5RPM"
974400,9,"2","failed1.4","2.5RPM"
1389300,9,"10","failed1.4","2.5RPM"
2370600,9,"3","failed1.4","2.5RPM"
1966800,9,"11","failed1.4","2.5RPM"
1661100,9,"4","failed1.4","2.5RPM"
1711800,9,"12","failed1.4","2.5RPM"
2805600,9,"5","failed1.4","2.5RPM"
1743900,9,"13","failed1.4","2.5RPM"
930900,9,"6","failed1.4","2.5RPM"
2235300,9,"14","failed1.4","2.5RPM"
1166700,9,"7","failed1.4","2.5RPM"
2195400,9,"15","failed1.4","2.5RPM"
1364700,9,"8","failed1.4","2.5RPM"
1762800,9,"16","failed1.4","2.5RPM"
3945900,10,"1","failed1.4","2.5RPM"
1900800,10,"9","failed1.4","2.5RPM"
2048700,10,"2","failed1.4","2.5RPM"
1518600,10,"10","failed1.4","2.5RPM"
2085600,10,"3","failed1.4","2.5RPM"
2617800,10,"11","failed1.4","2.5RPM"
